Job Title,Job link,Company,Salary,Experience,Min_Salary,Max_Salary,Experience(in yrs),Category
Magento 2 Developer,https://internshala.com/job/detail/magento-2-developer-job-in-ahmedabad-at-vanel-tech-india-private-limited1750318788,Vanel Tech India Private Limited,"₹ 8,40,000 - 14,40,000 /year",1 year(s),840000,1440000,1,Software Development
Associate Software Developer,https://internshala.com/job/detail/associate-software-developer-job-in-pune-at-vip-ai1750303638,VIP AI,"₹ 7,00,000 - 12,00,000 /year",1 year(s),700000,1200000,1,Software Development
Full Stack Developer,https://internshala.com/job/detail/full-stack-developer-job-in-gurgaon-at-ireed-academy-india-private-limited1751439604,IREED Academy India Private Limited,"₹ 4,00,000 - 5,00,000 /year",1 year(s),400000,500000,1,Software Development
Evaluation Engineer,https://internshala.com/job/detail/evaluation-engineer-job-in-delhi-at-cars24-services-private-limited1751336069,Cars24 Services Private Limited,"₹ 3,00,000 - 4,20,000 /year",1 year(s),300000,420000,1,Software Development
Application Support Engineer L1,https://internshala.com/job/detail/fresher-application-support-engineer-l1-job-in-mumbai-at-avenue-e-commerce-limited1751361644,Avenue E-Commerce Limited,"₹ 2,45,000 - 2,89,000 /year",0 year(s),245000,289000,0,Software Development
Information Technology Engineer,https://internshala.com/job/detail/information-technology-engineer-job-in-kochi-at-kumaresan-m1751454005,Innovsource Services Private Limited,"₹ 2,40,000 - 3,00,000 /year",1 year(s),240000,300000,1,Software Development
Python Developer,https://internshala.com/job/detail/remote-python-developer-job-at-clump-coder1750832057,Clump Coder,"₹ 2,00,000 /year",1 year(s),200000,200000,1,Data & AI
Solution Architect  App Modernization (GCP),https://internshala.com/job/detail/solution-architect-app-modernization-gcp-job-in-multiple-locations-at-i4-consulting--reimagining-hr-blueprints1749103270,I4 Consulting : Reimagining HR Blueprints,"₹ 50,00,000 - 55,00,000 /year",12 year(s),5000000,5500000,12,DevOps & Cloud
Lead - Salesforce Financial Cloud,https://internshala.com/job/detail/lead-salesforce-financial-cloud-job-in-multiple-locations-at-kiash-solutions-llp1749049332,Kiash Solutions LLP,"₹ 35,00,000 - 55,00,000 /year",7 year(s),3500000,5500000,7,DevOps & Cloud
Quality Assurance Manager,https://internshala.com/job/detail/quality-assurance-manager-job-in-multiple-locations-at-reliance-retail1750293174,Reliance Retail,"₹ 26,00,000 - 35,00,000 /year",12 year(s),2600000,3500000,12,Quality Assurance & Testing
SAP Technical Architect,https://internshala.com/job/detail/sap-technical-architect-job-in-multiple-locations-at-kiash-solutions-llp1749103406,Kiash Solutions LLP,"₹ 25,00,000 - 32,00,000 /year",8 year(s),2500000,3200000,8,IT Support & Infrastructure
Full Stack Developer,https://internshala.com/job/detail/full-stack-developer-job-in-multiple-locations-at-i4-consulting--reimagining-hr-blueprints1749104004,I4 Consulting : Reimagining HR Blueprints,"₹ 25,00,000 - 30,00,000 /year",9 year(s),2500000,3000000,9,Software Development
PHP Developer,https://internshala.com/job/detail/php-developer-job-in-bangalore-at-aliqan-technologies1749103393,ALIQAN Technologies,"₹ 24,00,000 - 30,00,000 /year",8 year(s),2400000,3000000,8,Software Development
Python Developer,https://internshala.com/job/detail/python-developer-job-in-multiple-locations-at-chiselon-technologies-pvt-ltd1751675449,Chiselon Technologies Pvt Ltd,"₹ 20,00,000 - 40,00,000 /year",7 year(s),2000000,4000000,7,Data & AI
Pvt. Cloud SME/Architect,https://internshala.com/job/detail/pvt-cloud-sme-architect-job-in-multiple-locations-at-jio1750293327,Jio,"₹ 20,00,000 - 40,00,000 /year",10 year(s),2000000,4000000,10,DevOps & Cloud
Python Developer,https://internshala.com/job/detail/python-developer-job-in-multiple-locations-at-chiselon-technologies-pvt-ltd1749103824,Chiselon Technologies Pvt Ltd,"₹ 20,00,000 - 40,00,000 /year",7 year(s),2000000,4000000,7,Data & AI
AI Engineer,https://internshala.com/job/detail/ai-engineer-job-in-chennai-at-innovative-talent-solutions1751502769,Innovative Talent Solutions,"₹ 20,00,000 - 35,00,000 /year",3 year(s),2000000,3500000,3,Data & AI
Full Stack Engineer,https://internshala.com/job/detail/full-stack-engineer-job-in-mumbai-at-talent-corner-hr-services-private-limited1751070829,Talent Corner HR Services Private Limited,"₹ 20,00,000 - 35,00,000 /year",6 year(s),2000000,3500000,6,Software Development
Java Architect,https://internshala.com/job/detail/java-architect-job-in-bangalore-at-almighty-hrd-consultants1750379564,Almighty HRD Consultants,"₹ 20,00,000 - 35,00,000 /year",7 year(s),2000000,3500000,7,IT Support & Infrastructure
